,user,dish_ordered,day,time,veg,place
0,user_37,beetroot burger,fri,lunch,yes,office
1,user_36,rabri,sun,breakfast,yes,office
2,user_20,chicken dum biryani,thur,breakfast,no,office
3,user_9,tomato ragout,thur,breakfast,yes,home
4,user_87,shawarma roll,wed,lunch,yes,home
5,user_60,aloo methi,sat,lunch,yes,office
6,user_44,satay kai,sun,breakfast,yes,office
7,user_67,barbeque chicken pizza,sun,lunch,no,office
8,user_22,kabab platter,fri,breakfast,yes,home
9,user_17,blackberry cheesecake,sun,dinner,yes,office
10,user_83,taco joint,wed,lunch,yes,office
11,user_22,seekh roll,wed,breakfast,yes,office
12,user_36,penne pasta,thur,dinner,yes,home
13,user_55,sweet corn veg soup,fri,lunch,yes,office
14,user_82,chicken shashlik,tue,breakfast,no,office
15,user_22,momo platter,sat,breakfast,yes,home
16,user_75,murgh angara,sun,breakfast,yes,home
17,user_10,prawn gassi,sat,breakfast,yes,home
18,user_28,smoothie bowl,sat,breakfast,yes,home
19,user_53,mexican patty,thur,dinner,yes,office
20,user_99,egg burger,tue,breakfast,yes,home
21,user_42,cannelloni,sun,lunch,yes,home
22,user_79,chicken rara,tue,dinner,no,office
23,user_90,momo burger,sat,breakfast,yes,home
24,user_10,ice cream sandwiches,fri,dinner,yes,office
25,user_44,aloo biryani,wed,dinner,yes,home
26,user_42,protein chapati,tue,lunch,yes,office
27,user_50,green tea,thur,lunch,yes,office
28,user_42,spicy tuna roll,sat,lunch,yes,home
29,user_4,jhol momos,sat,dinner,yes,home
30,user_46,lime soda,fri,breakfast,yes,office
31,user_20,fish n chips,thur,breakfast,no,home
32,user_92,chocolate nut sundae,sun,breakfast,yes,office
33,user_65,tamarind sorbet,mon,dinner,yes,home
34,user_30,kola urundai,sun,lunch,yes,home
35,user_39,minotaur steak,wed,lunch,yes,home
36,user_97,bacon fry,tue,lunch,yes,home
37,user_68,prawn dumplings,wed,breakfast,yes,office
38,user_69,paneer kofta,sat,breakfast,yes,home
39,user_37,saha chowmein,sat,dinner,yes,home
40,user_29,date pancakes,fri,lunch,yes,home
41,user_12,chicken manchurian roll,fri,breakfast,no,home
42,user_15,cheese dabeli,tue,dinner,yes,home
43,user_62,mexican fries,mon,lunch,yes,office
44,user_79,kheer kadam,thur,lunch,yes,home
45,user_86,yellow thai curry,tue,breakfast,yes,office
46,user_95,bbq pork,wed,lunch,no,home
47,user_46,cheese fingers,tue,dinner,yes,office
48,user_82,seafood pizza,tue,lunch,yes,office
49,user_28,cottage cheese steak,sat,dinner,yes,office
50,user_11,paneer pasanda,tue,lunch,yes,office
51,user_94,bengali style biryani,wed,dinner,yes,home
52,user_12,iced tea,wed,lunch,yes,home
53,user_54,mutton dhansak,mon,dinner,no,office
54,user_33,tandoori broccoli,tue,lunch,yes,home
55,user_84,paneer burger,tue,breakfast,yes,office
56,user_94,salmon,mon,lunch,yes,office
57,user_34,brain pepper fry,mon,breakfast,yes,office
58,user_71,kullad chai,mon,breakfast,yes,office
59,user_71,kullad chai,thur,lunch,yes,office
60,user_69,sagu masala dosa,mon,dinner,yes,home
61,user_56,cheese sandwiches,fri,dinner,yes,office
62,user_34,chole kulche,wed,lunch,yes,home
63,user_14,chicken whopper burger,thur,dinner,no,office
64,user_17,fish curry rice,sat,lunch,no,office
65,user_76,vegetable kebab platter,sun,breakfast,yes,home
66,user_8,fish grill,thur,lunch,no,home
67,user_63,rice noodles,mon,breakfast,yes,home
68,user_10,pineapple rasam,tue,lunch,yes,home
69,user_29,paneer tikka sandwich,thur,dinner,yes,home
70,user_12,pasta arrabiata,mon,dinner,yes,office
71,user_62,apple tart,sat,breakfast,yes,home
72,user_74,fiesta potatoes,sat,dinner,yes,home
73,user_46,chicken kalimirch,wed,breakfast,no,office
74,user_6,mutton kebab,thur,breakfast,no,home
75,user_35,sushi bar,mon,dinner,yes,office
76,user_41,hot chocolate fudge,wed,breakfast,yes,office
77,user_89,kori roti,sun,breakfast,yes,home
78,user_19,andhra thali,sat,breakfast,yes,office
79,user_93,shahi paneer,sat,dinner,yes,office
80,user_84,brown bomb,fri,lunch,yes,home
81,user_97,naan,thur,breakfast,yes,home
82,user_42,oreo waffle,wed,breakfast,yes,home
83,user_19,mutton,thur,dinner,no,office
84,user_90,mutton paya soup,sat,dinner,no,home
85,user_53,lahori chicken,sun,dinner,no,office
86,user_57,coconut rice,mon,breakfast,yes,home
87,user_59,makke ki roti,thur,breakfast,yes,home
88,user_92,momo platter,thur,breakfast,yes,home
89,user_52,cheese roll,wed,lunch,yes,office
90,user_13,kaaram biryani,tue,breakfast,yes,home
91,user_22,sandwiches,sun,breakfast,yes,office
92,user_22,moo burger,thur,dinner,yes,office
93,user_85,egg pav bhaji,sun,lunch,yes,office
94,user_85,bhuna gosht,fri,dinner,yes,home
