,user,dish_ordered,day,time,veg,place
0,user_418,kaju barfi,wed,breakfast,yes,office
1,user_566,momo burger,sun,lunch,yes,office
2,user_42,rustica pizza,fri,breakfast,yes,home
3,user_376,mashed potato,fri,breakfast,yes,home
4,user_795,skillet cookie,mon,dinner,yes,office
5,user_555,gongura chicken,mon,breakfast,no,home
6,user_903,nalli nihari,mon,lunch,yes,office
7,user_274,outdoor sitting arrangement,tue,lunch,yes,office
8,user_636,pepper baby corn,wed,lunch,yes,office
9,user_634,nutella pizza,tue,dinner,yes,office
10,user_335,oreo waffle,tue,lunch,yes,home
11,user_97,poha jalebi,thur,dinner,yes,home
12,user_257,spaghetti aglio olio,thur,dinner,yes,office
13,user_224,shrikhand,sat,lunch,yes,home
14,user_745,paneer bhurji roll,wed,breakfast,yes,office
15,user_295,lobster dumplings,sun,lunch,yes,home
16,user_914,saffron kahwa,wed,breakfast,yes,office
17,user_618,chilli prawns,tue,breakfast,no,home
18,user_176,pesto pasta,sun,dinner,yes,home
19,user_315,paneer tikka pizza,fri,dinner,yes,office
20,user_44,crispy honey chicken,thur,dinner,no,office
21,user_52,arabian kebab,sun,breakfast,yes,office
22,user_636,mango cake,sat,lunch,yes,office
23,user_795,sabudana khichdi,sat,breakfast,yes,office
24,user_566,peri peri wrap,mon,dinner,yes,office
25,user_378,egg curry,tue,breakfast,yes,home
26,user_274,non veg biryani,mon,lunch,no,home
27,user_901,gongura chicken,sat,lunch,no,home
28,user_654,chicken sekuwa,thur,breakfast,no,office
29,user_13,beef chilli,sat,dinner,no,home
30,user_207,afghani biryani,wed,dinner,yes,home
31,user_108,paneer subz biryani,tue,dinner,yes,office
32,user_164,poha jalebi,sun,breakfast,yes,office
33,user_428,pasta sizzler,thur,breakfast,yes,home
34,user_168,mashed potato,sat,breakfast,yes,home
35,user_73,chicken sausages,wed,breakfast,no,office
36,user_612,singapore sling,sat,lunch,yes,home
37,user_985,dal kichadi,wed,dinner,yes,office
38,user_68,banana leaf fish,tue,dinner,no,home
39,user_178,khao suey,tue,breakfast,yes,home
40,user_166,paneer tikka pizza,sat,lunch,yes,office
41,user_73,rustica pizza,sun,breakfast,yes,home
42,user_688,masala vada pav,mon,dinner,yes,office
43,user_544,gongura biryani,thur,breakfast,yes,office
44,user_377,chilli prawns,thur,breakfast,no,office
45,user_190,outdoor sitting arrangement,sun,breakfast,yes,home
46,user_91,bacon fry,mon,dinner,yes,home
47,user_985,crab sukha,tue,breakfast,yes,office
48,user_649,potato burrito,sun,dinner,yes,home
49,user_778,spinach corn cheese,wed,lunch,yes,office
50,user_44,ceylon paratha,fri,lunch,yes,office
51,user_376,brownie fudge sundae,tue,lunch,yes,office
52,user_30,mcmuffin,tue,lunch,yes,office
53,user_415,paneer pasanda,sun,dinner,yes,home
54,user_354,lemon tarts,tue,dinner,yes,home
55,user_985,yaki soba,mon,dinner,yes,office
56,user_363,crispy honey chicken,tue,dinner,no,office
57,user_505,paneer pasanda,tue,dinner,yes,home
58,user_747,sweet potato cake,tue,lunch,yes,office
59,user_642,maharaja burger,sun,dinner,yes,office
60,user_566,banana smoothie,sat,breakfast,yes,office
61,user_378,penne arrabiata pasta,sun,breakfast,yes,home
62,user_377,creamy mushroom pasta,sat,lunch,yes,home
63,user_377,bacon burger,tue,lunch,yes,office
64,user_415,pizza sandwich,thur,lunch,yes,home
65,user_481,sheermal,wed,dinner,yes,office
66,user_203,khao suey,mon,dinner,yes,office
67,user_566,masala pizza,sun,breakfast,yes,office
68,user_516,nalli nihari,sat,lunch,yes,office
69,user_140,penne pasta,sun,breakfast,yes,office
70,user_558,rajma chawal,mon,dinner,yes,office
71,user_189,palak kofta,sat,breakfast,yes,office
72,user_329,afghan chicken,tue,lunch,no,office
73,user_493,jumbo chicken roll,mon,lunch,no,office
74,user_713,tibetan momos,fri,dinner,yes,home
75,user_493,meat balls,tue,lunch,yes,home
76,user_397,egg maggi,sat,dinner,yes,office
77,user_815,paneer 65,sun,dinner,yes,home
78,user_612,murgh platter,sat,lunch,yes,home
79,user_670,masala pav,sat,dinner,yes,office
80,user_140,maharaja burger,sat,lunch,yes,home
81,user_815,ceylon paratha,sat,breakfast,yes,home
82,user_168,chicken gimbap,thur,dinner,no,office
83,user_377,sizzler brownie,sun,breakfast,yes,office
84,user_56,chicken gimbap,wed,dinner,no,office
85,user_720,calcutta paan,fri,dinner,yes,office
86,user_276,chicken bhuna roll,mon,breakfast,no,office
87,user_634,veg nachos,mon,lunch,yes,office
88,user_520,bbq pork ribs,wed,dinner,no,office
89,user_959,oreo waffle,sat,dinner,yes,home
90,user_558,spinach corn cheese,wed,lunch,yes,home
91,user_538,calcutta biryani,mon,lunch,yes,home
92,user_405,bread pakora,sun,lunch,yes,office
93,user_405,veg tandoori momos,fri,lunch,yes,home
94,user_490,dal panchmel,wed,dinner,yes,office
95,user_577,afghani biryani,fri,lunch,yes,office
96,user_259,mochar ghonto,wed,dinner,yes,office
97,user_164,grilled eggplant,sat,dinner,yes,office
98,user_211,sweet potato cake,fri,dinner,yes,office
99,user_233,gongura biryani,wed,lunch,yes,home
100,user_108,fudge cake,tue,dinner,yes,home
101,user_958,paneer subz biryani,mon,lunch,yes,home
